cg16867657,cg14361627,cg07553761,cg24079702,cg19283806,Age
0.7620847,0.2256891,0.3655489,0.4552252,0.1424022,68
0.7486982,0.2287761,0.3974169,0.531006,0.1386892,84
0.7634181,0.2570466,0.381907,0.423263,0.125857,75
0.6182324,0.1625357,0.3062313,0.3227689,0.2343927,51
0.6879355,0.212054,0.3060911,0.4396065,0.2411872,63
0.6613097,0.2322775,0.3375639,0.4612984,0.09929855,69
0.7370197,0.3161125,0.3734859,0.557543,0.1392939,78
0.7759894,0.1931535,0.4356973,0.4903225,0.1770911,78
0.6399093,0.1748235,0.2888163,0.3867808,0.3054313,52
0.6609651,0.1918985,0.3201372,0.4037124,0.2918009,49
0.636771,0.1606007,0.3186372,0.4128082,0.2439198,53
0.6497897,0.2275936,0.2998148,0.3551158,0.228595,59
0.6587625,0.2582626,0.2953427,0.4352522,0.2599561,62
0.6793292,0.1772947,0.2473097,0.3031878,0.2038871,46
0.7081397,0.217554,0.314562,0.4095501,0.2373443,68
0.7500386,0.2638675,0.3123966,0.4544363,0.2600487,74
0.6945258,0.2536351,0.3040251,0.3696427,0.3466629,59
0.6771177,0.2581366,0.3638069,0.4378766,0.2022227,76
0.6737232,0.1970831,0.3329014,0.4439237,0.4028898,54
0.6837789,0.2063278,0.3042921,0.364268,0.2531989,59
0.6376821,0.227142,0.3195665,0.3801833,0.2402839,48
0.5947521,0.1697547,0.2687627,0.3927801,0.332685,45
0.6611806,0.1699308,0.3426469,0.3861244,0.1330369,62
0.7081658,0.1931902,0.327607,0.4584804,0.2046127,63
0.7168567,0.2698109,0.3706605,0.46233,0.2271607,80
0.6517641,0.2479816,0.3630999,0.467904,0.2969046,60
0.7795148,0.2498811,0.3524855,0.5043828,0.1589751,71
0.7307492,0.2326278,0.3915966,0.5203137,0.304764,67
0.6132722,0.1563894,0.3021551,0.4179769,0.2927576,50
0.7758082,0.2491223,0.3903894,0.5339901,0.317578,86
0.7860739,0.2204482,0.387486,0.5316246,0.1589727,70
0.6125819,0.1792901,0.3241529,0.3837713,0.304188,54
0.7290756,0.2705129,0.3677477,0.4673061,0.2595348,69
0.7724285,0.1226237,0.413032,0.4546947,0.1468076,76
0.5948106,0.1616292,0.3042351,0.4171448,0.3299923,58
0.6729238,0.2426217,0.3009472,0.3653212,0.2041817,58
0.7014117,0.1843198,0.3274068,0.3313919,0.2535961,64
0.6930224,0.2978411,0.3584098,0.4157422,0.1720099,73
0.6134767,0.1588227,0.288883,0.3271218,0.3545152,49
0.6037811,0.1800885,0.3039105,0.3499602,0.2349988,56
0.7268605,0.2289192,0.2870144,0.3616407,0.1528039,75
0.6461783,0.2032069,0.2906992,0.3915249,0.3301797,48
0.7224537,0.2066561,0.352901,0.4901145,0.1714674,81
0.7171511,0.2266781,0.4098221,0.4368363,0.1900233,72
0.7315484,0.1403089,0.3028654,0.3311279,0.1985094,61
0.6572648,0.1927952,0.3444862,0.4013173,0.2611474,50
0.6592147,0.2565667,0.3424445,0.4464757,0.2181002,69
0.6924228,0.2361832,0.3143966,0.5028783,0.2733221,65
0.6117541,0.1887622,0.2824999,0.3924633,0.3017791,47
0.6329725,0.1692252,0.3165322,0.4441509,0.3258817,43
0.6809654,0.2023861,0.3416359,0.4066357,0.2070777,55
0.6300682,0.1755415,0.3080905,0.3603431,0.262712,54
0.6376951,0.2074115,0.3237561,0.3625852,0.1567389,58
0.5693894,0.169162,0.2884289,0.3607419,0.371315,34
0.6317034,0.2230267,0.3010904,0.4286506,0.2597689,65
0.6361051,0.1765887,0.2862126,0.3917253,0.3119656,52
0.5850098,0.1372861,0.2872285,0.287454,0.3310212,32
0.6373129,0.2032769,0.2429218,0.3948307,0.2402904,47
0.6877285,0.2025755,0.3360524,0.4208261,0.1757594,54
0.6781265,0.2120025,0.3277758,0.3582086,0.1900086,63
0.4819567,0.1453704,0.2376227,0.3203777,0.3678329,28
0.7451332,0.1929567,0.3357249,0.4011815,0.1455028,54
0.6427448,0.2128219,0.31457039,0.4386057,0.2423153,59
0.6435189,0.1886539,0.2645856,0.3458075,0.220396,56
0.6583422,0.2075229,0.2960526,0.3874429,0.3494427,50
0.5415511,0.1282348,0.3167861,0.2862175,0.4036502,30
0.5814301,0.1702638,0.2669978,0.3506777,0.3311793,50
0.6372234,0.1533977,0.2899353,0.3125776,0.2912028,47
0.5851048,0.1810362,0.3032462,0.3693934,0.2707693,47
0.5221466,0.1261517,0.2359569,0.3096113,0.4101432,33
0.5657424,0.1988724,0.2512285,0.3032813,0.347206,38
0.5611106,0.137292,0.2788744,0.3206671,0.3470603,35
0.5608102,0.2001265,0.2964777,0.3887728,0.2549722,47
0.743883,0.2261392,0.3575023,0.4291362,0.1226836,80
0.7692871,0.3010781,0.4034098,0.4985987,0.2728005,86
0.695067,0.2420844,0.3261862,0.4517357,0.2084202,71
0.6498978,0.229827,0.4031584,0.4344384,0.2385379,77
0.6814363,0.283005,0.3150419,0.4353394,0.3182858,67
0.7574108,0.2062643,0.4239643,0.5219864,0.1560741,84
0.7152258,0.2745801,0.3954271,0.4952685,0.2491287,80
0.6834496,0.2612427,0.3561583,0.4880185,0.1818005,70
0.6969849,0.2849873,0.3248735,0.4774744,0.2484851,67
0.6523548,0.2449252,0.3272586,0.4335417,0.2361696,63
0.7251156,0.2745894,0.3778329,0.5289155,0.1935671,70
0.6689343,0.2059559,0.3188764,0.42529,0.2096585,56
0.7090219,0.2545099,0.3496749,0.4736845,0.3142317,67
0.7001137,0.2685368,0.3129148,0.4549606,0.2279841,70
0.6972126,0.2570554,0.3301556,0.5016455,0.275626,70
0.7985595,0.2377551,0.3619628,0.5475684,0.1509044,74
0.7129239,0.3166854,0.3522072,0.4659899,0.1726072,73
0.7651765,0.2086708,0.3580842,0.4308642,0.1361499,77
0.786907,0.2892087,0.4015949,0.5268415,0.1008562,80
0.703109,0.2027393,0.3418301,0.4366167,0.1866082,66
0.8067054,0.4378138,0.5163052,0.4057089,0.1037388,85
0.7264185,0.2858513,0.3406291,0.4459547,0.2364908,76
0.710684,0.2560295,0.3696446,0.3950062,0.2387208,78
0.7558324,0.267367,0.4169252,0.5265246,0.1531684,82
0.7039926,0.2808568,0.3611012,0.4793507,0.267439,76
0.7549514,0.2331866,0.2763422,0.3700862,0.2018519,71
0.7142879,0.216304,0.3934329,0.4772372,0.19278,82
0.7641302,0.2289488,0.3678854,0.4968778,0.241696,83
0.7570033,0.283576,0.3736064,0.4604844,0.1866083,79
